2;;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;
"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_arrow_trap_d,Instances]";"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;;;;;;;;;"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;;;;;;;;;"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_crate,Instances]";"[obj_crate,Instances]";;;"[obj_crate,Instances]";"[obj_crate,Instances]";;;"[obj_crate,Instances]";"[obj_crate,Instances]";;;"[obj_crate,Instances]";"[obj_crate,Instances]";"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_psnt_body,Instances]";;;;;;;;;;;;;;"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";;;"[obj_crate,Instances]";"[obj_crate,Instances]";;;"[obj_crate,Instances]";"[obj_crate,Instances]";;;"[obj_crate,Instances]";"[obj_crate,Instances]";;;"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;;;;;;;;;"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;;;;;;;;;"[obj_fl_spikes,Instances]";;
"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_u,Instances]";"[obj_arrow_trap_u,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_u,Instances]";"[obj_arrow_trap_u,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_arrow_trap_u,Instances]";"[obj_arrow_trap_u,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_fl_spikes,Instances]";;
1;;;;;;;;;;;;;;;;;;
"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;;;;;;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]"
"[obj_rock,Instances]";;"[obj_slm_cr,Instances]";;;;;;;;;;;;;;"[obj_slm_cr,Instances]";;"[obj_rock,Instances]"
"[obj_rock,Instances]";;;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_crate,Instances]";"[obj_crate,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]"
"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";;;;;;;;;"[obj_rock,Instances]";;;;
"[obj_rock,Instances]";;;;"[obj_rock,Instances]";;;"[obj_psnt_body,Instances]";;;;;"[obj_psnt_body,Instances]";;;"[obj_rock,Instances]";;;
"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";;;;;;;;;"[obj_rock,Instances]";;;;
"[obj_rock,Instances]";;;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_crate,Instances]";"[obj_crate,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]"
"[obj_rock,Instances]";;"[obj_slm_cr,Instances]";;;;;;;;;;;;;;"[obj_slm_cr,Instances]";;"[obj_rock,Instances]"
"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;;;;;;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";"[obj_rock,Instances]"
2;;;;;;;;;;;;;;;;;;
;"[obj_bat,Instances]";"[obj_rock,Instances]";"[obj_barrel,Instances]";;;"[obj_bat,Instances]";;"[obj_rock,Instances]";;;;"[obj_bat,Instances]";;"[obj_rock,Instances]";;;;
;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;
;"[obj_rock,Instances]";"[obj_rock,Instances]";;"[obj_rock,Instances]";;;"[obj_rock,Instances]";"[obj_rock,Instances]";;"[obj_rock,Instances]";;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;
;"[obj_rock,Instances]";;;"[obj_rock,Instances]";"[obj_rock,Instances]";;"[obj_rock,Instances]";"[obj_barrel,Instances]";;"[obj_rock,Instances]";"[obj_rock,Instances]";;"[obj_rock,Instances]";;;;;
;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;;;
;;"[obj_rock,Instances]";;"[obj_rock,Instances]";"[obj_rock,Instances]";;;"[obj_rock,Instances]";;"[obj_rock,Instances]";"[obj_rock,Instances]";;;"[obj_rock,Instances]";;;;
;"[obj_rock,Instances]";"[obj_rock,Instances]";;"[obj_barrel,Instances]";"[obj_rock,Instances]";;"[obj_rock,Instances]";"[obj_rock,Instances]";;;"[obj_rock,Instances]";;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;
;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;;"[obj_rock,Instances]";"[obj_rock,Instances]";;;;
;"[obj_rock,Instances]";"[obj_bat,Instances]";;;;;"[obj_rock,Instances]";"[obj_barrel,Instances]";;"[obj_bat,Instances]";;;"[obj_rock,Instances]";;;;;
