2,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
"[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_crate,Instances]","[obj_crate,Instances]",#,"[obj_rock,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_crate,Instances]","[obj_rock,Instances]","[obj_crate,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]"
"[obj_rock,Instances]","[obj_vase,Instances]",#,"[obj_arrow_trap_d,Instances]","[obj_rock,Instances]","[obj_rock,Instances]",#,#,#,"[obj_rock,Instances]","[obj_vase,Instances]","[obj_arrow_trap_d,Instances]",#,"[obj_rock,Instances]","[obj_crate,Instances]",#,#,"[obj_vase,Instances]","[obj_rock,Instances]"
"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]"
#,#,#,#,#,#,#,#,#,"[obj_slm_cr,Instances]",#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,"[obj_slm_cr,Instances]",#,#,#,#,#,#,#,#,#
"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]"
"[obj_rock,Instances]","[obj_rock,Instances]",#,#,"[obj_rock,Instances]",#,"[obj_arrow_trap_u,Instances]","[obj_rock,Instances]",#,"[obj_rock,Instances]",#,"[obj_rock,Instances]",#,"[obj_rock,Instances]","[obj_arrow_trap_u,Instances]",#,"[obj_rock,Instances]",#,"[obj_rock,Instances]"
#,#,"[obj_crate,Instances]","[obj_rock,Instances]","[obj_vase,Instances]","[obj_rock,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]",#,"[obj_rock,Instances]","[obj_vase,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_crate,Instances]","[obj_crate,Instances]","[obj_rock,Instances]"
1,,,,,,,,,,,,,,,,,,
"[obj_rock,Instances]","[obj_rock,Instances]","[obj_chest,Instances]","[obj_vase,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_vase,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_barrel,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]"
